record_id,submission_id,scheduler_job_id,array_task,slots,wallclock_s,core_h,exit_status,failed,logical_jobs,completed_logical_jobs,runner_status,qacct_path,qacct_sha256,collected_at_utc
423451.103,20260808-fullspace-sigma-preopt-v1,423451,103,1,44,0.01222222,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
423451.1030,20260808-fullspace-sigma-preopt-v1,423451,1030,1,67,0.01861111,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
423451.1031,20260808-fullspace-sigma-preopt-v1,423451,1031,1,64,0.01777778,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
423451.1032,20260808-fullspace-sigma-preopt-v1,423451,1032,1,64,0.01777778,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
423451.1033,20260808-fullspace-sigma-preopt-v1,423451,1033,1,68,0.01888889,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
423451.1034,20260808-fullspace-sigma-preopt-v1,423451,1034,1,64,0.01777778,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
423451.1035,20260808-fullspace-sigma-preopt-v1,423451,1035,1,60,0.01666667,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
423451.1036,20260808-fullspace-sigma-preopt-v1,423451,1036,1,70,0.01944444,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
423451.1037,20260808-fullspace-sigma-preopt-v1,423451,1037,1,65,0.01805556,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
423451.1038,20260808-fullspace-sigma-preopt-v1,423451,1038,1,65,0.01805556,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
