parent_id,input,smiles,family,site_a_atom_index_0based,site_b_atom_index_0based,coupling_marker,coupling_smiles,coupling_atom_mapped_smiles,repeat_link_rule,link_atom_pair,topology_sha256
M065,2-Aminophenol (o-aminophenol),Nc1ccccc1O,Anilines,0,4,I,Oc1cc(I)ccc1NI,[NH2:1]c1cc[cH:2]cc1O,copy_i.site_b--copy_i+1.site_a,C-N,5074b92a9c401cc5b6f17ea2282ee1a0824e382a0df8f25a72aaae684eb25774
M066,3-Aminophenol (m-aminophenol),Nc1cccc(O)c1,Anilines,0,4,I,Oc1cc(NI)ccc1I,[NH2:1]c1cc[cH:2]c(O)c1,copy_i.site_b--copy_i+1.site_a,C-N,f00a94e8351fea1255296eb83793917c68ce3fa253ed546afdf1dcc344f28469
M067,2-Fluoroaniline,Nc1ccccc1F,Anilines,0,4,I,Fc1cc(I)ccc1NI,[NH2:1]c1cc[cH:2]cc1F,copy_i.site_b--copy_i+1.site_a,C-N,fa092e573d5c0f58fb221abdc0f69d655f3d94ac94b9cbb90d645be0da539aed
M068,"2,6-Dimethylaniline",Cc1cccc(C)c1N,Anilines,3,8,I,Cc1cc(I)cc(C)c1NI,Cc1c[cH:1]cc(C)c1[NH2:2],copy_i.site_b--copy_i+1.site_a,C-N,89b7b6c388b1c2469bc65dd09794d30476d10792d0e8c184de628e83f0da118c
M069,Diphenylamine,c1ccc(Nc2ccccc2)cc1,Anilines,0,8,I,Ic1ccc(Nc2ccc(I)cc2)cc1,[cH:1]1ccc(Nc2cc[cH:2]cc2)cc1,copy_i.site_b--copy_i+1.site_a,C-C,338f4a0b00804b9a6d3d86860b50e16aeb1cf3eb73a1ae7c1fae968fbd59979d
M070,Carbazole,c1ccc2c(c1)[nH]c1ccccc12,Carbazoles,1,10,I,Ic1ccc2[nH]c3ccc(I)cc3c2c1,c1[cH:1]cc2c(c1)[nH]c1cc[cH:2]cc21,copy_i.site_b--copy_i+1.site_a,C-C,18d8eb7b251ab0f684b549fb761f406994406f6d655fa525d12c5f8067d985fc
M071,N-Methylcarbazole,Cn1c2ccccc2c2ccccc21,Carbazoles,5,10,I,Cn1c2ccc(I)cc2c2cc(I)ccc21,Cn1c2cc[cH:1]cc2c2c[cH:2]ccc12,copy_i.site_b--copy_i+1.site_a,C-C,a8b61bd37707d6dfb6af5c36ac421f16d22a7d3974b4dd98d8d9b58a6ff2ead5
M072,N-Ethylcarbazole,CCn1c2ccccc2c2ccccc21,Carbazoles,6,11,I,CCn1c2ccc(I)cc2c2cc(I)ccc21,CCn1c2cc[cH:1]cc2c2c[cH:2]ccc12,copy_i.site_b--copy_i+1.site_a,C-C,2b50088830a541e45b3ad908f28a935a28cdb77ca8d07cbd50194ff0b2106023
M073,N-Hexylcarbazole,CCCCCCn1c2ccccc2c2ccccc21,Carbazoles,10,15,I,CCCCCCn1c2ccc(I)cc2c2cc(I)ccc21,CCCCCCn1c2cc[cH:1]cc2c2c[cH:2]ccc12,copy_i.site_b--copy_i+1.site_a,C-C,93d78cb7b3fca1750ee0ca370249b882bab054be8988f2860d392c1a6a89d6e4
M074,N-Octylcarbazole,CCCCCCCCn1c2ccccc2c2ccccc21,Carbazoles,12,17,I,CCCCCCCCn1c2ccc(I)cc2c2cc(I)ccc21,CCCCCCCCn1c2cc[cH:1]cc2c2c[cH:2]ccc12,copy_i.site_b--copy_i+1.site_a,C-C,125c180ef831b81e3c511e9286745bdac49346302ceff895b78bae2263d260d6
M075,N-Vinylcarbazole,C=Cn1c2ccccc2c2ccccc21,Carbazoles,6,11,I,C=Cn1c2ccc(I)cc2c2cc(I)ccc21,C=Cn1c2cc[cH:1]cc2c2c[cH:2]ccc12,copy_i.site_b--copy_i+1.site_a,C-C,da75232ce8f528797823fea2efced613a2a30940024d546640b50991b667f254
M076,"3,6-Bis(thiophen-2-yl)-9-methylcarbazole",Cn1c2ccc(-c3cccs3)cc2c2cc(-c3cccs3)ccc21,Carbazoles,9,19,I,Cn1c2ccc(-c3ccc(I)s3)cc2c2cc(-c3ccc(I)s3)ccc21,Cn1c2ccc(-c3cc[cH:1]s3)cc2c2cc(-c3cc[cH:2]s3)ccc12,copy_i.site_b--copy_i+1.site_a,C-C,a3eb7e097f05a6c53e806747f00358007a0061cad86d976ee6f4a8060b2b0b25
M077,"3,6-Bis(EDOT-2-yl)-9-methylcarbazole",Cn1c2ccc(-c3scc4c3OCCO4)cc2c2cc(-c3scc4c3OCCO4)ccc21,Carbazoles,8,22,I,Cn1c2ccc(-c3sc(I)c4c3OCCO4)cc2c2cc(-c3sc(I)c4c3OCCO4)ccc21,Cn1c2ccc(-c3s[cH:1]c4c3OCCO4)cc2c2cc(-c3s[cH:2]c4c3OCCO4)ccc12,copy_i.site_b--copy_i+1.site_a,C-C,9b56ac75d44c9c105f42462ace931cdea69ec7edd9f4db8b553d64e5b3deb0f1
