input,smiles,family
"9,9-Dibutylfluorene hexamer (n=6)",CCCCC1(CCCC)c2ccccc2-c2ccc(-c3ccc4c(c3)C(CCCC)(CCCC)c3cc(-c5ccc6c(c5)C(CCCC)(CCCC)c5cc(-c7ccc8c(c7)C(CCCC)(CCCC)c7cc(-c9ccc%10c(c9)C(CCCC)(CCCC)c9cc(-c%11ccc%12c(c%11)C(CCCC)(CCCC)c%11ccccc%11-%12)ccc9-%10)ccc7-8)ccc5-6)ccc3-4)cc21,Fluorenes
"9,9-Dihexylfluorene hexamer (n=6)",CCCCCCC1(CCCCCC)c2ccccc2-c2ccc(-c3ccc4c(c3)C(CCCCCC)(CCCCCC)c3cc(-c5ccc6c(c5)C(CCCCCC)(CCCCCC)c5cc(-c7ccc8c(c7)C(CCCCCC)(CCCCCC)c7cc(-c9ccc%10c(c9)C(CCCCCC)(CCCCCC)c9cc(-c%11ccc%12c(c%11)C(CCCCCC)(CCCCCC)c%11ccccc%11-%12)ccc9-%10)ccc7-8)ccc5-6)ccc3-4)cc21,Fluorenes
"9,9-Dioctylfluorene hexamer (n=6)",CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(-c3ccc4c(c3)C(CCCCCCCC)(CCCCCCCC)c3cc(-c5ccc6c(c5)C(CCCCCCCC)(CCCCCCCC)c5cc(-c7ccc8c(c7)C(CCCCCCCC)(CCCCCCCC)c7cc(-c9ccc%10c(c9)C(CCCCCCCC)(CCCCCCCC)c9cc(-c%11ccc%12c(c%11)C(CCCCCCCC)(CCCCCCCC)c%11ccccc%11-%12)ccc9-%10)ccc7-8)ccc5-6)ccc3-4)cc21,Fluorenes
"4,7-Bis(thiophen-2-yl)-2,1,3-benzothiadiazole (TBT) hexamer (n=6)",c1csc(-c2ccc3nsnc3c2-c2ccc(-c3ccc(-c4ccc5nsnc5c4-c4ccc(-c5ccc(-c6ccc7nsnc7c6-c6ccc(-c7ccc(-c8ccc9nsnc9c8-c8ccc(-c9ccc(-c%10ccc%11nsnc%11c%10-c%10ccc(-c%11ccc(-c%12ccc%13nsnc%13c%12-c%12cccs%12)s%11)s%10)s9)s8)s7)s6)s5)s4)s3)s2)c1,Donor–Acceptor units
"4,7-Bis(3-hexylthiophen-2-yl)-2,1,3-benzothiadiazole hexamer (n=6)",CCCCCCc1csc(-c2c(-c3sc(-c4sc(-c5c(-c6sc(-c7sc(-c8c(-c9sc(-c%10sc(-c%11c(-c%12sc(-c%13sc(-c%14c(-c%15sc(-c%16sc(-c%17c(-c%18sccc%18CCCCCC)ccc%18nsnc%17%18)cc%16CCCCCC)cc%15CCCCCC)ccc%15nsnc%14%15)cc%13CCCCCC)cc%12CCCCCC)ccc%12nsnc%11%12)cc%10CCCCCC)cc9CCCCCC)ccc9nsnc89)cc7CCCCCC)cc6CCCCCC)ccc6nsnc56)cc4CCCCCC)cc3CCCCCC)ccc3nsnc23)c1,Donor–Acceptor units
"Thieno[3,4-b]pyrazine hexamer (n=6)",c1cnc2c(-c3sc(-c4sc(-c5sc(-c6sc(-c7scc8nccnc78)c7nccnc67)c6nccnc56)c5nccnc45)c4nccnc34)scc2n1,Donor–Acceptor units
"2,3-Dimethylthieno[3,4-b]pyrazine hexamer (n=6)",Cc1nc2csc(-c3sc(-c4sc(-c5sc(-c6sc(-c7scc8nc(C)c(C)nc78)c7nc(C)c(C)nc67)c6nc(C)c(C)nc56)c5nc(C)c(C)nc45)c4nc(C)c(C)nc34)c2nc1C,Donor–Acceptor units
"2,3-Dihexylthieno[3,4-b]pyrazine hexamer (n=6)",CCCCCCc1nc2csc(-c3sc(-c4sc(-c5sc(-c6sc(-c7scc8nc(CCCCCC)c(CCCCCC)nc78)c7nc(CCCCCC)c(CCCCCC)nc67)c6nc(CCCCCC)c(CCCCCC)nc56)c5nc(CCCCCC)c(CCCCCC)nc45)c4nc(CCCCCC)c(CCCCCC)nc34)c2nc1CCCCCC,Donor–Acceptor units
"3,6-Bis(thiophen-2-yl)-2,5-dimethyl-DPP (TDPP-Me) hexamer (n=6)",CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(=O)N(C)C(c7ccc(-c8ccc(C9=C%10C(=O)N(C)C(c%11ccc(-c%12ccc(C%13=C%14C(=O)N(C)C(c%15ccc(-c%16ccc(C%17=C%18C(=O)N(C)C(c%19ccc(-c%20ccc(C%21=C%22C(=O)N(C)C(c%23cccs%23)=C%22C(=O)N%21C)s%20)s%19)=C%18C(=O)N%17C)s%16)s%15)=C%14C(=O)N%13C)s%12)s%11)=C%10C(=O)N9C)s8)s7)=C6C(=O)N5C)s4)s3)N(C)C(=O)C2=C1c1cccs1,Donor–Acceptor units
"3,6-Bis(thiophen-2-yl)-2,5-dioctyl-DPP (TDPP-Oct) hexamer (n=6)",CCCCCCCCN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(=O)N(CCCCCCCC)C(c7ccc(-c8ccc(C9=C%10C(=O)N(CCCCCCCC)C(c%11ccc(-c%12ccc(C%13=C%14C(=O)N(CCCCCCCC)C(c%15ccc(-c%16ccc(C%17=C%18C(=O)N(CCCCCCCC)C(c%19ccc(-c%20ccc(C%21=C%22C(=O)N(CCCCCCCC)C(c%23cccs%23)=C%22C(=O)N%21CCCCCCCC)s%20)s%19)=C%18C(=O)N%17CCCCCCCC)s%16)s%15)=C%14C(=O)N%13CCCCCCCC)s%12)s%11)=C%10C(=O)N9CCCCCCCC)s8)s7)=C6C(=O)N5CCCCCCCC)s4)s3)N(CCCCCCCC)C(=O)C2=C1c1cccs1,Donor–Acceptor units
